Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,TA_restaurants_curated.Price Range
161 avenue de Choisy,restaurant,83931,48.828162,2.358123,Paris,Lao Douang Chan,4b19005bf964a52011d723e3,0,Asian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=83931,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83931,$
162 Rue du Faubourg Saint-Honoré,restaurant,84603,48.873176407179,2.3098540306091,Paris,Starbucks,4b6bc39ef964a520bb172ce3,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=84603,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84603,$$ - $$$
17 Avenue de la Motte Picquet,restaurant,85573,48.855893265225,2.3080742571414,Paris,Les Parisiennes,4bbcebcb593fef3b23d10256,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85573,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85573,$$ - $$$
17 Avenue Tourville,restaurant,86771,48.854401743358,2.306099611982,Paris,Le Tourville,4c506f5ff080a5936ccd86e2,0,Cocktail Bar,http://tour-pedia.org/api/getPlaceDetails?id=86771,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86771,$$ - $$$
18 avenue Charles de Gaulle,restaurant,84845,48.879731610611,2.285327911377,Paris,Matsuri,4b7d42f6f964a5203fb52fe3,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84845,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84845,$$ - $$$
18-20 Boulevard Montmartre,restaurant,89134,48.872022630704,2.3401683568954,Paris,Chipotle Mexican Grill,4eb85eadbe7bfc284b8c1931,0,Mexican Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=89134,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89134,$
184 rue de Rivoli,restaurant,86343,48.86335875421,2.3336680233479,Paris,McDonald's,4bfd472cee20ef3b1b543c5e,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86343,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86343,$
196 Boulevard de la Villette,restaurant,87606,48.896453124542,2.3868234495452,Paris,McDonald's,4d34a0d42e56236a5b7f30b4,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=87606,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87606,$
199 rue de Crimée,restaurant,86672,48.891474,2.37585158,Paris,La Medina,4c3b1bae1a1cd13a8ac5b50d,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86672,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86672,$$ - $$$
2 Boulevard Arago,restaurant,84976,48.836630762799,2.3506236076355,Paris,McDonald's,4b8920d3f964a520481e32e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84976,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84976,$
2 place de la Nation,restaurant,83914,48.848721907061,2.3943265559822,Paris,Le Canon de la Nation,4b162ad6f964a5204fb723e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=83914,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83914,$$ - $$$
2 rue Cambon,restaurant,83404,48.866415332931,2.3253572898668,Paris,Flottes,4adcda06f964a520d93221e3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=83404,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83404,$$ - $$$
2 rue Caulaincourt,restaurant,85529,48.884605765343,2.3296597,Paris,Cafe de Luna,4bb8e45f3db7b713edbe219a,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85529,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85529,$$ - $$$
2 rue d'Amsterdam,restaurant,83826,48.875709682355,2.3269879817963,Paris,Quick,4afd824ef964a520352822e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=83826,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=83826,$
2 rue Dupetit-Thouars,restaurant,86563,48.864813603997,2.363021596159,Paris,Caffe Soprano,4c25d0c9f1272d7f1b7385c5,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86563,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86563,$$ - $$$
2 Rue Marie et Louise,restaurant,84075,48.871814454134,2.3677682876587,Paris,Maria Luisa,4b2e65b5f964a52072df24e3,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84075,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84075,$$ - $$$
"2, Avenue du Général Leclerc",restaurant,90994,48.833452214924,2.3318692925377,Paris,Sushi Shop,515bfed7e4b07d3b36900abb,0,Sushi Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=90994,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90994,$$ - $$$
200 quai de Valmy,restaurant,89295,48.881187312606,2.3689723791496,Paris,Le Camion Qui Fume,4eee2eb02c5bafa619de554e,0,Food Truck,http://tour-pedia.org/api/getPlaceDetails?id=89295,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89295,$
208 avenue Jean Jaurès,restaurant,84353,48.888568011172,2.3928069934368,Paris,McDonald's,4b584815f964a520d95028e3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84353,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84353,$
21 Avenue de la Porte de Châtillon,restaurant,86424,48.823137360246,2.3164039850235,Paris,La Pergola,4c0aa0b9bbc676b0dd2d4ad5,0,Italian Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86424,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86424,$$ - $$$
21 Rue Boyer,restaurant,84369,48.868348,2.391999,Paris,La Bellevilloise,4b59b17af964a520289328e3,0,Concert Hall,http://tour-pedia.org/api/getPlaceDetails?id=84369,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84369,$$ - $$$
22 rue du Château Landon,restaurant,91077,48.881605876984,2.3629219532838,Paris,Massawa,5172e978e4b0182f5a748182,0,African Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=91077,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91077,$$ - $$$
23 rue Muller,restaurant,85646,48.886538418453,2.345134606365,Paris,Le Petit Bleu,4bc18cfff8219c741d95b310,0,Middle Eastern Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85646,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85646,$
234 Avenue de Versailles,restaurant,84509,48.838170588702,2.2578178314751,Paris,McDonald's,4b642f65f964a52016a32ae3,0,Fast Food Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=84509,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=84509,$
234 rue de Rivoli,restaurant,85090,48.865708808873,2.3269739339799,Paris,Le First,4b93b3d1f964a520b14d34e3,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=85090,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=85090,$$$$
238 Rue des Pyrénées,restaurant,86668,48.867439017329,2.3963928222656,Paris,Aux Ours,4c3a0ec193db0f47e8752492,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=86668,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86668,$
24 rue des Vinaigriers,restaurant,90208,48.873028903604,2.362953094308,Paris,Craft,50420756e4b0047a41a495fc,0,Coffee Shop,http://tour-pedia.org/api/getPlaceDetails?id=90208,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=90208,$$ - $$$
24 Rue Durantin,restaurant,89603,48.886154390262,2.3363241243758,Paris,La Bascule,4f6240a6e4b01b3ebe8c9340,0,French Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=89603,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=89603,$$ - $$$
254 avenue Daumesnil,restaurant,86755,48.83620705248,2.4060273170471,Paris,Sakura,4c4b23f6f7cc1b8d8ad5783f,0,Japanese Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=86755,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=86755,$$ - $$$
